filename,store,date,total,items,raw_text
0.jpg,WAL*MART,,,DISCOUNT GIVEN 0.57 | ‘| SUBIQIA. = 8.11,"WAL*MART

ALWAYS LOW PRICES.

woe

SUPERCENTER
OPEN 24 HOURS
MANAGER . TBA
(515 ) 986 - 1783
$T# 5748 OP# 00000158 TE¥ 14 TRH 03178
BANANAS 00000000401 1kF
0.41 Ib @ 1 Ib /0.49 0.20 N
FRAP 001200010451 F 5.48 N
DISCOUNT GIVEN 0.57
‘| SUBIQIA. = 8.11
5.
y CASH TEND 1100
CHANGE DUE “5 ""@g

"
0.jpg,WAL*MART,,,DISCOUNT GIVEN 0.57 | ‘| SUBIQIA. = 8.11,"WAL*MART

ALWAYS LOW PRICES.

woe

SUPERCENTER
OPEN 24 HOURS
MANAGER . TBA
(515 ) 986 - 1783
$T# 5748 OP# 00000158 TE¥ 14 TRH 03178
BANANAS 00000000401 1kF
0.41 Ib @ 1 Ib /0.49 0.20 N
FRAP 001200010451 F 5.48 N
DISCOUNT GIVEN 0.57
‘| SUBIQIA. = 8.11
5.
y CASH TEND 1100
CHANGE DUE “5 ""@g

"
1.jpg,TRADER JOE'S,06-28-2014,38,2 @ 0.69 | CASH $40.00 | CHANGE $1.32,"TRADER JOE'S

2001 Greenville Ave
Dallas TX 75206
Store #403 - (469) 334-0614

OPEN 8:00AM TO 9:00PM DAILY

R-CARROTS SHREDDED 10 OZ
R-CUCUMBERS PERSIAN 1 LB
TOMATOES CRUSHED NO SALT
TOMATOES WHOLE NO SALT W/BASIL
ORGANIC OLD FASHIONED OATMEAL
MINI-PEARL TOMATOES. .

PKG SHREDDED MOZZARELLA LITE T
EGGS 1 002 ORGANIC BROWN.
BEANS GARBANZO

SPROUTED CA STYLE

A-AVOCADOS HASS BAG 4CT
A-APPLE BAG JAZZ 2 LB
A-PEPPER BELL EACH XL RED
3ROCERY NON TAXABLE

WowONN=———
Dinm io mR Oininioly
SSSEESSEES

3FA —-@_0.29/EA
CREAMY SALTED PEANUT BUT TER
WHL WHT PITA BREAD
GROCERY NON TAXABLE

2 @ 0.69

SUBTOTAL $38 .68
TOTAL $38 .68
CASH $40.00
CHANGE $1.32

ITEMS 22 Higgins, Ryan
06-28-2014 12:34PM 0403 04 1346 4683

THANK YOU FOR SHOPPING AT
TRADER JOE'S
www. traderjoes.com

"
1.jpg,TRADER JOE'S,06-28-2014,38,2 @ 0.69 | CASH $40.00 | CHANGE $1.32,"TRADER JOE'S

2001 Greenville Ave
Dallas TX 75206
Store #403 - (469) 334-0614

OPEN 8:00AM TO 9:00PM DAILY

R-CARROTS SHREDDED 10 OZ
R-CUCUMBERS PERSIAN 1 LB
TOMATOES CRUSHED NO SALT
TOMATOES WHOLE NO SALT W/BASIL
ORGANIC OLD FASHIONED OATMEAL
MINI-PEARL TOMATOES. .

PKG SHREDDED MOZZARELLA LITE T
EGGS 1 002 ORGANIC BROWN.
BEANS GARBANZO

SPROUTED CA STYLE

A-AVOCADOS HASS BAG 4CT
A-APPLE BAG JAZZ 2 LB
A-PEPPER BELL EACH XL RED
3ROCERY NON TAXABLE

WowONN=———
Dinm io mR Oininioly
SSSEESSEES

3FA —-@_0.29/EA
CREAMY SALTED PEANUT BUT TER
WHL WHT PITA BREAD
GROCERY NON TAXABLE

2 @ 0.69

SUBTOTAL $38 .68
TOTAL $38 .68
CASH $40.00
CHANGE $1.32

ITEMS 22 Higgins, Ryan
06-28-2014 12:34PM 0403 04 1346 4683

THANK YOU FOR SHOPPING AT
TRADER JOE'S
www. traderjoes.com

"
10.jpg,Thank,,,,"Thank

You

TAX INVOIL
T

CE

"
10.jpg,Thank,,,,"Thank

You

TAX INVOIL
T

CE

"
11.jpg,WHOLE,,,45.44,"WHOLE
FOODS

SHARON RD.

PL TORTILLA’S
CAGE FREE ALL WHIT
BLACK BEANS
Frozen Mangoes 160
Whole Strawberries
0G LF COTTAGE CHEE
MAHI MAHI FILLETS
$2 off (1) WC Fill
California Harvest
1.08 1b @ 1.99 /Ib
*UT

6.
3
1

2
2
J
8.
2
can

TARE =
PLUMS BLACK CV 2.15 B

ITEM = 4040

NHP SLICED OVEN RO 3.99 B
NHP SLICED HICKORY 3.99 B

1764 1b Bea oe7 1b TARE = 01
UT GALA APPLES OG 3.26 B

ITEM = 94135

wee TAX 93 BAL

45.44
"
11.jpg,WHOLE,,,45.44,"WHOLE
FOODS

SHARON RD.

PL TORTILLA’S
CAGE FREE ALL WHIT
BLACK BEANS
Frozen Mangoes 160
Whole Strawberries
0G LF COTTAGE CHEE
MAHI MAHI FILLETS
$2 off (1) WC Fill
California Harvest
1.08 1b @ 1.99 /Ib
*UT

6.
3
1

2
2
J
8.
2
can

TARE =
PLUMS BLACK CV 2.15 B

ITEM = 4040

NHP SLICED OVEN RO 3.99 B
NHP SLICED HICKORY 3.99 B

1764 1b Bea oe7 1b TARE = 01
UT GALA APPLES OG 3.26 B

ITEM = 94135

wee TAX 93 BAL

45.44
"
12.jpg,WAL*MART,10/20/07,"0,00",SW FIGURES 065356920144 6.63 | TAX 1 3 S100 oy 0.54 | TAX 3 4.350% 0.76 | MCARD TEND 18.75,"WAL*MART

Save money. Live better.

WE SELL FOR LESS
ALWAYS
MANAGER DAPHNE SESSION
636 ) 536 - phe

6
IESTERFIELD, MO 6
ST# 2600"" OF 00001855 Tee TRE er

SW FIGURES 065356920144 6.63
TOOTHBRUSH Mech Eady . “3 x
WOMEN SLIPPE CER -f x
17.4
TAX 1 3 S100 oy 0.54
TAX 3 4.350% 0.76

TOTAL 18.75
MCARD TEND 18.75
ACCOUNT #3546
APPROVAL #007190
TRANS ID ~
VALIDATION -
PAYMENT SERVICE - A
CHANGE DUE 0,00

# ITEMS SOLD 3

iii 4

xclusive Easle:
available October 30th!
10/20/07 13:48:43

##NCUSTOMER COPY###

"
12.jpg,WAL*MART,10/20/07,"0,00",SW FIGURES 065356920144 6.63 | TAX 1 3 S100 oy 0.54 | TAX 3 4.350% 0.76 | MCARD TEND 18.75,"WAL*MART

Save money. Live better.

WE SELL FOR LESS
ALWAYS
MANAGER DAPHNE SESSION
636 ) 536 - phe

6
IESTERFIELD, MO 6
ST# 2600"" OF 00001855 Tee TRE er

SW FIGURES 065356920144 6.63
TOOTHBRUSH Mech Eady . “3 x
WOMEN SLIPPE CER -f x
17.4
TAX 1 3 S100 oy 0.54
TAX 3 4.350% 0.76

TOTAL 18.75
MCARD TEND 18.75
ACCOUNT #3546
APPROVAL #007190
TRANS ID ~
VALIDATION -
PAYMENT SERVICE - A
CHANGE DUE 0,00

# ITEMS SOLD 3

iii 4

xclusive Easle:
available October 30th!
10/20/07 13:48:43

##NCUSTOMER COPY###

"
13.jpg,TD A ASWOYBKCH,,,‘SUBIOL A 90.00 | CASH TN) 60.60 | CHANGE OE 10.06 | 0.00 50.09) 50.00,"TD A ASWOYBKCH

Walmart >)<

Save money. Live better.

( 843) 292 = 0962
MANAGER MICHAEL (6 [GHARD
2014 S TRBY $1

FLORENCE $0. 2506,
S1# 02703 OPH 009049 TE 49 IRA Orde
GIN CARD 087458604333 50,00 0
‘SUBIOL A 90.00
TOiAL 50. (0.

CASH TN) 60.60
CHANGE OE 10.06

SHOP.CARU ACTIVATION 80,00
ACCOUNT 613968545249/29""
APPR. CODE — 792986,
REE douo7A2

Bal Tran Amt End Bal
0.00 50.09) 50.00
OB/II/17 1

2

AN TATAUTI

TCH 9796 5895 9287 9333 1992
Low Prices You Ca Trust
O8/IAT
Store reseipts o7 Your phone. Walmart P

"
13.jpg,TD A ASWOYBKCH,,,‘SUBIOL A 90.00 | CASH TN) 60.60 | CHANGE OE 10.06 | 0.00 50.09) 50.00,"TD A ASWOYBKCH

Walmart >)<

Save money. Live better.

( 843) 292 = 0962
MANAGER MICHAEL (6 [GHARD
2014 S TRBY $1

FLORENCE $0. 2506,
S1# 02703 OPH 009049 TE 49 IRA Orde
GIN CARD 087458604333 50,00 0
‘SUBIOL A 90.00
TOiAL 50. (0.

CASH TN) 60.60
CHANGE OE 10.06

SHOP.CARU ACTIVATION 80,00
ACCOUNT 613968545249/29""
APPR. CODE — 792986,
REE douo7A2

Bal Tran Amt End Bal
0.00 50.09) 50.00
OB/II/17 1

2

AN TATAUTI

TCH 9796 5895 9287 9333 1992
Low Prices You Ca Trust
O8/IAT
Store reseipts o7 Your phone. Walmart P

"
14.jpg,See back of receipt for your chance,05/04/17,,,"See back of receipt for your chance
to win $1000

ID #: 7LORX4K8PUX

1
Walmart 2,5.

Save money. Live better.

( 937 ) 644 - 2800
MANAGER CHRISTOPHER wood
ANS CROSSING BLVI!
VILLE OH 43
ST# 01595 OP# 007573 TES
EQUATE LINER 068113186503
WFUS ENG POM 005100024543 F
DAWN ORIG 00370001 1045
BOYD PKGTAPE 007535307841
BOYD PKGTAPE 007535307841
LINT ROLLER2 005114123488
SUBTOTAL

TAX 1 7.000 %
TOTAL
DEBIT TEND
CHANGE DUE

EFT DEBIT PAY FROM PRIMARY

26.60 TOTAL PURCHASE
wee aanee 3aeee E371 S

ACCOUNT #

REF # 712400283994
NETWORK ID. 0069 APPR CODE 868483
TERMINAL # SCO10087

05/04/17 19:54:16

i

t
j

Store receipts on your phone. Walmart P

ay.

"
14.jpg,See back of receipt for your chance,05/04/17,,,"See back of receipt for your chance
to win $1000

ID #: 7LORX4K8PUX

1
Walmart 2,5.

Save money. Live better.

( 937 ) 644 - 2800
MANAGER CHRISTOPHER wood
ANS CROSSING BLVI!
VILLE OH 43
ST# 01595 OP# 007573 TES
EQUATE LINER 068113186503
WFUS ENG POM 005100024543 F
DAWN ORIG 00370001 1045
BOYD PKGTAPE 007535307841
BOYD PKGTAPE 007535307841
LINT ROLLER2 005114123488
SUBTOTAL

TAX 1 7.000 %
TOTAL
DEBIT TEND
CHANGE DUE

EFT DEBIT PAY FROM PRIMARY

26.60 TOTAL PURCHASE
wee aanee 3aeee E371 S

ACCOUNT #

REF # 712400283994
NETWORK ID. 0069 APPR CODE 868483
TERMINAL # SCO10087

05/04/17 19:54:16

i

t
j

Store receipts on your phone. Walmart P

ay.

"
15.jpg,Walmart 7 =,07/22/16,"0,00",,"Walmart 7 =

Save money: Live better:

ail PRE 9020,

wie HOMAS
63) BEACH BLVD

SHINSTER cA oaaes

St ozaoe BBN 00368 Tt
Draneves” vt 068113131 fie

VISA TEND

Gredit__ pret saan wenn 3670 1
BeeROva cy ce
REF ® 620500604
TRANS ID ~ Beegte 35084060
VALIDATION
PAYMENT SERVICE = E ok
ATD 0000000031010
TC 9EOFACSABOSESD92
TERMINAL 281767447
#NO SIGNATURE REQUIRED

07/22/16 = 20:63:11 i

CHANGE DUE 0,00 |

# ITEMS SOLD1

30129 11

wl i il ii i 009

vearsa Ht i
\2 ‘toatl COPYeKR

Ings Catcher ta 1 with Walmart ae
PSIG} Is,
bloV shy

\,

"
15.jpg,Walmart 7 =,07/22/16,"0,00",,"Walmart 7 =

Save money: Live better:

ail PRE 9020,

wie HOMAS
63) BEACH BLVD

SHINSTER cA oaaes

St ozaoe BBN 00368 Tt
Draneves” vt 068113131 fie

VISA TEND

Gredit__ pret saan wenn 3670 1
BeeROva cy ce
REF ® 620500604
TRANS ID ~ Beegte 35084060
VALIDATION
PAYMENT SERVICE = E ok
ATD 0000000031010
TC 9EOFACSABOSESD92
TERMINAL 281767447
#NO SIGNATURE REQUIRED

07/22/16 = 20:63:11 i

CHANGE DUE 0,00 |

# ITEMS SOLD1

30129 11

wl i il ii i 009

vearsa Ht i
\2 ‘toatl COPYeKR

Ings Catcher ta 1 with Walmart ae
PSIG} Is,
bloV shy

\,

"
16.jpg,See back of receipt for your chance,11/13/17,0.00,TAX 1 6.500 % 1.15 | TAX 4 7.500 % 0.30 | DEBIT TEND 23.19,"See back of receipt for your chance
to win $1000
ID #: — 7L2TOWIM25F

Walmart >/<.

Save money. Live better.

( 701 ) 223 - 3066
MANAGER TIM MORRIS
2717 ROCK ISLAND PL
BISMARCK ND 58504
ST# 01534 OP# 009048 TE# 48 TRH 04455

6 WING PLATE 020108870398 3.98 P
ASST 27 063099656595 4.88 X
CUTIE CAR 063099656644 12.88 X

SUBTOTAL 21.74

TAX 1 6.500 % 1.15

TAX 4 7.500 % 0.30

TOTAL 23.19
DEBIT TEND 23.19
CHANGE DUE 0.00

EFT DEBIT PAY FROM PRIMARY
23.19 TOTAL PURCHASE
US DEBIT xxKK xxxk xxxx 2696 I 0

REF # 731700494718
NETWORK ID. 0081 APPR CODE 936886

US DEBIT

AID A0000000980840

TC 58B77239DA5B3B44
*NO SIGNATURE REQUIRED
TERMINAL # SCO11090

11/13/17 12:34:04
# ITEMS SOLD 3
TC# 2188 7274 6444 1567 3762

MUM

ii Low Prices You Can Trust. Every Day.
| 11/13/17 12:34:11
Store receipts on your phone. Walmart P

= |

"
16.jpg,See back of receipt for your chance,11/13/17,0.00,TAX 1 6.500 % 1.15 | TAX 4 7.500 % 0.30 | DEBIT TEND 23.19,"See back of receipt for your chance
to win $1000
ID #: — 7L2TOWIM25F

Walmart >/<.

Save money. Live better.

( 701 ) 223 - 3066
MANAGER TIM MORRIS
2717 ROCK ISLAND PL
BISMARCK ND 58504
ST# 01534 OP# 009048 TE# 48 TRH 04455

6 WING PLATE 020108870398 3.98 P
ASST 27 063099656595 4.88 X
CUTIE CAR 063099656644 12.88 X

SUBTOTAL 21.74

TAX 1 6.500 % 1.15

TAX 4 7.500 % 0.30

TOTAL 23.19
DEBIT TEND 23.19
CHANGE DUE 0.00

EFT DEBIT PAY FROM PRIMARY
23.19 TOTAL PURCHASE
US DEBIT xxKK xxxk xxxx 2696 I 0

REF # 731700494718
NETWORK ID. 0081 APPR CODE 936886

US DEBIT

AID A0000000980840

TC 58B77239DA5B3B44
*NO SIGNATURE REQUIRED
TERMINAL # SCO11090

11/13/17 12:34:04
# ITEMS SOLD 3
TC# 2188 7274 6444 1567 3762

MUM

ii Low Prices You Can Trust. Every Day.
| 11/13/17 12:34:11
Store receipts on your phone. Walmart P

= |

"
17.jpg,See iced Bho receipt for your chance,,,1 FOR 0.44,"See iced Bho receipt for your chance
to win #1

TD #:  7K2GF1SL2FF

Walmart 2 2<

Save money, Live better.

970 ) 259 ~ 8755
MANAGER MIKE bag
fi Me Bal fein} INO Di

co 8 308 |
fia hae” Pt n004 TEs eh 02 TRY 03080
Jie IKI
1. ea @ 1 lb /0 3) o 95
Hae ae i 903120002183 F E
sr N ee o7ea71 782200 F F
CHNPART TOM 073447501213 1
KFT SINGLES 002100061526 F
82114 pepeece a E
ALAMI 020633960343 F
eococossoaekt
1 FOR 0.44
PILLS tiore 068113113619 F
‘SH NYLON 0074 7024836
HAND CLEANER 004125100005
INJECTR CLNR 00: 98071 0003

“inion

N/IB/VT 14:26:03

x

BALE BOIwLSS

Sanrreneasss ase’
See ees

NSBo--Fw-No> WawNonNc

"
